 , ,Total SCHL,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree,Less Than High School,High School,Some College,Bachelor Degree,"Master, PhD, or Professional Degree"
"    CON-DRYWALL INSTALLERS, CEILING TILE INSTALLERS, AND TAPERS", ,190703,0,4808,0,0,553,1377,2119,954,2948,14445,2794,8731,12225,10260,10442,9090,62496,15450,5763,18324,3715,3769,307,133,0,80746,77946,27802,3769,440
    CON-ELECTRICIANS, ,932097,0,5852,286,0,232,175,1121,862,1277,4402,2745,5914,11059,10338,14632,14176,303732,50160,93838,213188,131856,57489,7266,1312,185,73071,353892,438882,57489,8763
    CON-GLAZIERS, ,47146,0,435,0,0,0,0,32,0,0,818,97,543,1648,1008,2159,1442,20691,3610,3571,7359,2179,1364,190,0,0,8182,24301,13109,1364,190
    CON-INSULATION WORKERS, ,50488,0,1434,65,38,0,162,491,66,651,2443,510,1287,2314,1750,2719,997,17300,4462,3364,6213,3250,734,146,92,0,14927,21762,12827,734,238
    CON-PAINTERS AND PAPERHANGERS, ,763674,0,17234,327,0,1238,3048,5041,4806,8430,41396,7250,22853,41313,32770,45283,28187,248895,52309,39679,89669,29290,36019,7257,432,948,259176,301204,158638,36019,8637
"    CON-PIPELAYERS, PLUMBERS, PIPEFITTERS, AND STEAMFITTERS", ,648298,0,6536,47,163,0,1270,2369,2334,3040,9484,4532,7598,19193,16980,21615,16078,253016,51178,48067,113068,42047,25918,2473,951,341,111239,304194,203182,25918,3765
    CON-PLASTERERS AND STUCCO MASONS, ,40976,0,2199,0,0,0,571,691,133,849,2384,953,2301,2457,795,2334,1663,15110,2345,2397,2006,908,820,0,60,0,17330,17455,5311,820,60
    CON-ROOFERS, ,288941,0,9261,106,264,365,1935,4163,3099,5002,17919,3621,11073,16343,18767,22046,13196,89311,22278,11984,24629,6150,6890,318,0,221,127160,111589,42763,6890,539
    CON-SHEET METAL WORKERS, ,155424,0,2274,0,0,0,0,73,39,396,900,1233,2475,4043,2326,6284,4063,59357,13802,14052,27442,10498,5659,453,55,0,24106,73159,51992,5659,508
    CON-STRUCTURAL IRON AND STEEL WORKERS, ,73250,0,1036,0,0,123,0,0,0,57,1222,314,1328,2015,2009,2712,1298,26955,6503,7767,10215,5838,3502,249,0,107,12114,33458,23820,3502,356
"    CON-HELPERS, CONSTRUCTION TRADES", ,65441,0,1298,0,0,0,263,329,84,587,1913,600,1533,2352,3776,4118,1393,24257,5330,3824,10072,2025,1624,63,0,0,18246,29587,15921,1624,63
    CON-CONSTRUCTION AND BUILDING INSPECTORS, ,110612,0,32,0,0,0,0,49,0,0,0,101,66,178,467,838,1033,25147,3126,10463,23909,18126,19651,6358,588,480,2764,28273,52498,19651,7426
    CON-ELEVATOR INSTALLERS AND REPAIRERS, ,26913,0,295,0,0,0,0,0,0,0,158,0,0,0,0,482,358,11451,841,2358,6220,3404,1346,0,0,0,1293,12292,11982,1346,0
    CON-FENCE ERECTORS, ,38975,0,935,0,0,536,218,802,634,153,1375,378,2140,2278,2019,1524,1159,11673,2486,2713,5946,888,839,90,189,0,14151,14159,9547,839,279
    CON-HAZARDOUS MATERIALS REMOVAL WORKERS, ,40733,0,826,0,0,107,0,292,0,95,2085,0,189,1634,748,1717,976,14329,2568,2275,6338,2529,2817,1153,55,0,8669,16897,11142,2817,1208
    CON-HIGHWAY MAINTENANCE WORKERS, ,136353,0,1305,0,0,0,113,24,0,1174,1735,698,955,1578,4185,3994,2241,67414,9687,11028,17432,7282,4650,808,29,21,18002,77101,35742,4650,858
    CON-RAIL-TRACK LAYING AND MAINTENANCE EQUIPMENT OPERATORS, ,18181,0,0,0,0,0,0,0,0,0,491,122,63,183,138,465,265,8056,1934,1841,3107,859,657,0,0,0,1727,9990,5807,657,0
"    CON-MISCELLANEOUS CONSTRUCTION WORKERS, INCLUDING SOLAR PHOTOVOLTAIC INSTALLERS, SEPTIC TANK SERVICERS AND SEWER PIPE CLEANERS", ,94652,0,1288,0,0,0,233,422,320,307,2632,362,2025,2654,1579,3144,3201,33779,6522,6218,17075,5571,6701,619,0,0,18167,40301,28864,6701,619
"    EXT-DERRICK, ROTARY DRILL, AND SERVICE UNIT OPERATORS, AND ROUSTABOUTS, OIL, GAS, AND MINING", ,55713,0,710,0,0,0,0,137,0,440,603,401,1342,1658,3078,2421,1144,22093,3892,3692,8963,1624,2934,581,0,0,11934,25985,14279,2934,581
"    EXT-EARTH DRILLERS, EXCEPT OIL AND GAS", ,32516,0,95,0,0,0,379,486,0,0,0,0,0,1218,855,1151,725,14384,2502,2861,4470,1598,1792,0,0,0,4909,16886,8929,1792,0
"    EXT-EXPLOSIVES WORKERS, ORDNANCE HANDLING EXPERTS, AND BLASTERS", ,20559,0,260,0,0,0,0,0,0,0,0,0,44,104,131,584,195,7100,105,2955,5657,1167,1915,342,0,0,1318,7205,9779,1915,342
    EXT-MINING MACHINE OPERATORS, ,77250,0,921,0,0,0,0,191,0,346,1370,55,1479,2268,2489,1687,2402,36521,3459,5175,12256,3501,2872,173,29,56,13208,39980,20932,2872,258
"    EXT-MISCELLANEOUS EXTRACTION WORKERS, INCLUDING ROOF BOLTERS AND HELPERS", ,94463,0,1700,0,22,32,0,526,233,634,2336,522,678,2915,2838,2981,2155,36276,8063,8137,16957,2682,4302,165,191,118,17572,44339,27776,4302,474
"    RPR-FIRST-LINE SUPERVISORS OF MECHANICS, INSTALLERS, AND REPAIRERS", ,326553,0,3076,0,0,166,41,382,67,60,467,113,1564,2933,3364,5595,4434,91274,19161,36000,67719,45449,35246,8525,407,510,22262,110435,149168,35246,9442
