Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,75.5, 0.08,176080100.0,1654169.0
Alabama,71.4, 0.65,2527900.0,23360.0
Alaska,76.8, 1.47,431800.0,3685.0
Arizona,72.5, 0.54,3544500.0,33182.0
Arkansas,73.7, 0.82,1501400.0,14001.0
California,72.2, 0.22,22396100.0,207564.0
Colorado,79.2, 0.53,3086300.0,29272.0
Connecticut,77.9, 0.66,2047500.0,19620.0
Delaware,75.9, 1.36,517800.0,4743.0
District of Columbia,76.3, 1.50,420400.0,4138.0
Florida,73.5, 0.31,10670200.0,97724.0
Georgia,73.1, 0.43,5562100.0,50871.0
Hawaii,78.1, 1.06,805700.0,7815.0
Idaho,75.9, 1.06,854300.0,7591.0
Illinois,75.8, 0.36,7343900.0,68835.0
Indiana,76.5, 0.52,3527300.0,34268.0
Iowa,82.2, 0.58,1701100.0,16235.0
Kansas,79.4, 0.74,1551600.0,14455.0
Kentucky,74.5, 0.66,2266400.0,22069.0
Louisiana,72.7, 0.65,2469600.0,22051.0
Maine,79.7, 1.02,705200.0,6541.0
Maryland,78.4, 0.51,3452200.0,32792.0
Massachusetts,78.9, 0.47,3919200.0,38308.0
Michigan,74.3, 0.40,5338100.0,50513.0
Minnesota,82.9, 0.42,3085500.0,29062.0
Mississippi,70.8, 0.84,1523500.0,13957.0
Missouri,77.5, 0.53,3215500.0,30784.0
Montana,76.7, 1.12,549900.0,4981.0
Nebraska,84.3, 0.70,1032200.0,9876.0
Nevada,74.4, 0.80,1549400.0,14071.0
New Hampshire,81.4, 1.02,766100.0,7527.0
New Jersey,76.6, 0.43,5122100.0,48836.0
New Mexico,71.5, 0.99,1089900.0,9718.0
New York,74.4, 0.30,11404400.0,108245.0
North Carolina,74.5, 0.43,5416300.0,51174.0
North Dakota,81.5, 1.17,426000.0,4020.0
Ohio,77.2, 0.39,6210500.0,60859.0
Oklahoma,75.5, 0.60,1991100.0,18057.0
Oregon,75.1, 0.68,2130500.0,20308.0
Pennsylvania,76.4, 0.37,6953700.0,67661.0
Rhode Island,77.7, 1.24,590600.0,5891.0
South Carolina,74.5, 0.62,2572200.0,24134.0
South Dakota,84.4, 1.06,455400.0,4316.0
Tennessee,74.5, 0.54,3445300.0,32917.0
Texas,75.5, 0.26,14833300.0,133537.0
Utah,77.6, 0.76,1578300.0,14826.0
Vermont,80.7, 1.21,346000.0,3413.0
Virginia,78.1, 0.43,4756800.0,45869.0
Washington,76.1, 0.49,3948900.0,37586.0
West Virginia,70.5, 1.01,927600.0,8755.0
Wisconsin,81.0, 0.43,3194500.0,31115.0
Wyoming,80.5, 1.37,324600.0,3041.0
Puerto Rico,52.4, 0.80,1750200.0,14840.0
