Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,74.0, 0.09,174960800.0,1656199.0
Alabama,70.9, 0.66,2514200.0,23583.0
Alaska,75.0, 1.51,430900.0,3739.0
Arizona,71.1, 0.55,3503700.0,33422.0
Arkansas,72.9, 0.83,1497400.0,13978.0
California,70.5, 0.22,22071800.0,205105.0
Colorado,77.8, 0.55,3025100.0,28734.0
Connecticut,76.7, 0.68,2055300.0,19910.0
Delaware,76.1, 1.38,504400.0,4594.0
District of Columbia,75.0, 1.56,403000.0,3930.0
Florida,71.7, 0.32,10481500.0,97224.0
Georgia,71.0, 0.44,5527200.0,50813.0
Hawaii,77.0, 1.08,801200.0,7898.0
Idaho,74.9, 1.08,844400.0,7683.0
Illinois,74.6, 0.37,7348100.0,69810.0
Indiana,75.3, 0.52,3566600.0,34578.0
Iowa,81.9, 0.58,1687000.0,16362.0
Kansas,79.0, 0.75,1564200.0,14866.0
Kentucky,72.9, 0.67,2291800.0,22409.0
Louisiana,73.0, 0.65,2439900.0,22485.0
Maine,77.2, 1.05,718100.0,6881.0
Maryland,77.9, 0.51,3430000.0,32871.0
Massachusetts,77.0, 0.49,3872500.0,38657.0
Michigan,71.2, 0.41,5398400.0,51481.0
Minnesota,81.7, 0.43,3077200.0,29393.0
Mississippi,69.8, 0.85,1521300.0,14125.0
Missouri,76.3, 0.54,3216900.0,31151.0
Montana,75.7, 1.13,556700.0,5210.0
Nebraska,82.7, 0.73,1032000.0,9809.0
Nevada,73.0, 0.82,1537100.0,14282.0
New Hampshire,80.9, 1.03,765400.0,7584.0
New Jersey,74.3, 0.44,5103700.0,48822.0
New Mexico,70.7, 1.00,1093000.0,9936.0
New York,72.9, 0.30,11398900.0,108487.0
North Carolina,72.8, 0.44,5372800.0,51390.0
North Dakota,82.0, 1.18,406100.0,3818.0
Ohio,75.1, 0.40,6249100.0,60859.0
Oklahoma,75.7, 0.60,1989300.0,18112.0
Oregon,71.9, 0.70,2146800.0,20545.0
Pennsylvania,75.2, 0.37,7007600.0,68559.0
Rhode Island,76.9, 1.25,599800.0,6075.0
South Carolina,72.1, 0.64,2553500.0,24300.0
South Dakota,81.8, 1.13,452500.0,4253.0
Tennessee,73.2, 0.55,3454500.0,32764.0
Texas,74.0, 0.27,14368500.0,130246.0
Utah,77.3, 0.77,1541100.0,14574.0
Vermont,80.7, 1.19,357200.0,3642.0
Virginia,77.3, 0.44,4756600.0,46156.0
Washington,74.8, 0.50,3932200.0,37605.0
West Virginia,70.6, 0.99,949600.0,8998.0
Wisconsin,79.4, 0.44,3219100.0,31429.0
Wyoming,79.4, 1.39,325800.0,3062.0
Puerto Rico,53.5, 0.79,1813300.0,15565.0
