Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,74.5, 0.09,171393500.0,1639182.0
Alabama,72.3, 0.65,2458800.0,24437.0
Alaska,75.2, 1.33,405000.0,3507.0
Arizona,71.6, 0.55,3551200.0,32384.0
Arkansas,74.6, 0.83,1459400.0,13952.0
California,72.0, 0.22,21231700.0,198162.0
Colorado,77.0, 0.56,2963900.0,28381.0
Connecticut,77.5, 0.67,2014200.0,19446.0
Delaware,77.5, 1.37,487700.0,4515.0
District of Columbia,72.9, 1.67,371900.0,3481.0
Florida,72.6, 0.32,10023300.0,97342.0
Georgia,72.7, 0.44,5499900.0,51957.0
Hawaii,78.8, 1.08,750800.0,7467.0
Idaho,73.8, 1.11,828400.0,8108.0
Illinois,74.2, 0.37,7416600.0,70183.0
Indiana,74.7, 0.53,3525600.0,35228.0
Iowa,82.0, 0.58,1668500.0,16327.0
Kansas,79.5, 0.74,1554400.0,14855.0
Kentucky,72.9, 0.68,2264600.0,22404.0
Louisiana,74.0, 0.65,2414400.0,22813.0
Maine,79.1, 1.02,719300.0,6610.0
Maryland,78.6, 0.52,3319100.0,32020.0
Massachusetts,77.4, 0.49,3852000.0,36870.0
Michigan,69.8, 0.45,5502900.0,53029.0
Minnesota,80.2, 0.52,3045600.0,29246.0
Mississippi,71.2, 0.84,1522400.0,14303.0
Missouri,76.6, 0.54,3233200.0,31345.0
Montana,76.1, 1.33,539200.0,4727.0
Nebraska,83.1, 0.86,999000.0,9627.0
Nevada,73.8, 0.82,1494000.0,14590.0
New Hampshire,80.0, 1.04,778500.0,7391.0
New Jersey,75.8, 0.44,5018100.0,48639.0
New Mexico,72.7, 0.99,1072700.0,9762.0
New York,73.6, 0.30,11279600.0,104683.0
North Carolina,73.7, 0.44,5190600.0,50587.0
North Dakota,82.9, 1.42,370100.0,3677.0
Ohio,74.6, 0.40,6310000.0,62561.0
Oklahoma,76.3, 0.71,1896800.0,18127.0
Oregon,72.9, 0.69,2148000.0,20631.0
Pennsylvania,75.6, 0.37,6946200.0,67280.0
Rhode Island,77.6, 1.23,604100.0,5819.0
South Carolina,72.2, 0.65,2491300.0,24489.0
South Dakota,81.0, 1.34,446900.0,4315.0
Tennessee,73.5, 0.55,3399500.0,33068.0
Texas,74.9, 0.27,13588000.0,127139.0
Utah,76.2, 0.79,1519200.0,14363.0
Vermont,80.9, 1.29,359300.0,3404.0
Virginia,77.2, 0.45,4561700.0,44270.0
Washington,74.8, 0.51,3816200.0,37052.0
West Virginia,71.6, 0.99,934300.0,9040.0
Wisconsin,80.1, 0.47,3237100.0,32543.0
Wyoming,80.7, 1.40,308300.0,3026.0
Puerto Rico,53.9, 0.75,1987500.0,15224.0
