Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,76.2, 0.08,177171000.0,1660521.0
Alabama,72.1, 0.65,2498300.0,22949.0
Alaska,77.1, 1.48,424900.0,3570.0
Arizona,73.1, 0.54,3596200.0,33153.0
Arkansas,74.1, 0.82,1494400.0,13886.0
California,73.4, 0.21,22572900.0,208893.0
Colorado,79.4, 0.52,3161200.0,29793.0
Connecticut,78.9, 0.65,2049200.0,19572.0
Delaware,77.1, 1.33,521700.0,4646.0
District of Columbia,78.5, 1.43,432700.0,4195.0
Florida,74.3, 0.30,10866700.0,98490.0
Georgia,74.3, 0.42,5655700.0,51370.0
Hawaii,79.2, 1.04,807300.0,7828.0
Idaho,77.3, 1.04,851500.0,7779.0
Illinois,76.6, 0.36,7309500.0,68896.0
Indiana,77.7, 0.51,3531800.0,33705.0
Iowa,82.0, 0.58,1700200.0,16451.0
Kansas,80.5, 0.73,1568600.0,14633.0
Kentucky,75.2, 0.66,2277900.0,21949.0
Louisiana,73.0, 0.65,2472100.0,22167.0
Maine,81.1, 1.00,700900.0,6584.0
Maryland,79.0, 0.50,3456900.0,32700.0
Massachusetts,79.4, 0.47,3938300.0,38824.0
Michigan,75.5, 0.40,5306400.0,50262.0
Minnesota,83.4, 0.42,3086700.0,29199.0
Mississippi,70.2, 0.85,1523900.0,14223.0
Missouri,79.2, 0.52,3225100.0,30925.0
Montana,78.4, 1.09,547700.0,4996.0
Nebraska,83.8, 0.71,1029000.0,9730.0
Nevada,74.5, 0.80,1577600.0,14257.0
New Hampshire,83.3, 0.99,750400.0,7283.0
New Jersey,76.6, 0.43,5145100.0,48717.0
New Mexico,72.0, 0.99,1083500.0,9540.0
New York,75.1, 0.29,11411500.0,107939.0
North Carolina,75.6, 0.42,5437900.0,50732.0
North Dakota,83.2, 1.11,437300.0,4173.0
Ohio,77.8, 0.38,6194400.0,60888.0
Oklahoma,75.9, 0.59,2017000.0,18082.0
Oregon,76.4, 0.66,2166400.0,20810.0
Pennsylvania,77.0, 0.37,6916000.0,67338.0
Rhode Island,78.2, 1.23,595900.0,5751.0
South Carolina,74.4, 0.62,2599300.0,24486.0
South Dakota,81.8, 1.13,451600.0,4384.0
Tennessee,76.1, 0.52,3483700.0,33154.0
Texas,75.5, 0.25,15136200.0,136087.0
Utah,78.3, 0.75,1602100.0,15226.0
Vermont,81.3, 1.19,349000.0,3407.0
Virginia,78.6, 0.43,4773700.0,46007.0
Washington,76.9, 0.48,3997700.0,38225.0
West Virginia,70.5, 1.01,921500.0,8654.0
Wisconsin,82.4, 0.42,3195000.0,30976.0
Wyoming,78.5, 1.43,320500.0,3037.0
Puerto Rico,52.9, 0.81,1723900.0,14243.0
