" "," ","Total DPHY","Yes","No","Total WAGP","Average WAGP","Std Err WAGP","Weighted total WAGP"
"CMM-COMPUTER SYSTEMS ANALYSTS", ,552870,12801,540069,552870,71287.3,1472.22,39412615920
"CMM-INFORMATION SECURITY ANALYSTS", ,71627,1301,70326,71627,84797.7,4506.59,6073805770
"CMM-COMPUTER PROGRAMMERS", ,508834,9408,499426,508834,70577.8,1490.67,35912404700
"CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE", ,1302041,15503,1286538,1302041,90582.4,1146.49,117941956210
"CMM-WEB DEVELOPERS", ,221806,3216,218590,221806,45119.8,1644.94,10007839290
"CMM-COMPUTER SUPPORT SPECIALISTS", ,736514,19046,717468,736514,52652.6,1038.15,38779407180
"CMM-DATABASE ADMINISTRATORS", ,129397,2866,126531,129397,70205.2,2774.39,9084345370
"CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS", ,232037,6008,226029,232037,63270.0,1817.26,14680987970
"CMM-COMPUTER NETWORK ARCHITECTS", ,116267,1960,114307,116267,90643.2,3704.07,10538811400
"CMM-COMPUTER OCCUPATIONS, ALL OTHER", ,655014,15608,639406,655014,64037.4,1278.00,41945397980
"CMM-ACTUARIES", ,30414,601,29813,30414,114220.2,10085.72,3473892400
"CMM-OPERATIONS RESEARCH ANALYSTS", ,159200,5156,154044,159200,72482.1,2460.60,11539155460
"CMM-MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS AND STATISTICIANS", ,59105,862,58243,59105,80275.5,4983.90,4744685800
"ENG-ARCHITECTS, EXCEPT NAVAL", ,198661,2376,196285,198661,70724.6,2741.25,14050215250
"ENG-SURVEYORS, CARTOGRAPHERS, AND PHOTOGRAMMETRISTS", ,38696,1190,37506,38696,45992.9,3673.39,1779742700
"ENG-AEROSPACE ENGINEERS", ,135402,1702,133700,135402,91383.4,3522.17,12373491400
"ENG-BIOMEDICAL AND AGRICULTURAL ENGINEERS", ,17543,376,17167,17543,75127.4,7964.40,1317960800
"ENG-CHEMICAL ENGINEERS", ,74588,1113,73475,74588,99119.3,5722.10,7393110800
"ENG-CIVIL ENGINEERS", ,359066,6701,352365,359066,75839.1,1810.80,27231256460
"ENG-COMPUTER HARDWARE ENGINEERS", ,58597,908,57689,58597,88170.8,5023.19,5166544300
"ENG-ELECTRICAL AND ELECTRONICS ENGINEERS", ,241936,2642,239294,241936,86267.1,2579.88,20871114600
"ENG-ENVIRONMENTAL ENGINEERS", ,34488,1216,33272,34488,70260.9,5332.43,2423157300
"ENG-INDUSTRIAL ENGINEERS, INCLUDING HEALTH AND SAFETY", ,225457,4837,220620,225457,69411.2,2086.39,15649249960
"ENG-MARINE ENGINEERS AND NAVAL ARCHITECTS", ,14571,971,13600,14571,74885.0,8291.09,1091148700
"ENG-MATERIALS ENGINEERS", ,47868,575,47293,47868,75485.1,4894.07,3613321600
"ENG-MECHANICAL ENGINEERS", ,275686,3482,272204,275686,77139.2,2053.41,21266185510
"ENG-PETROLEUM, MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING SAFETY ENGINEERS", ,55551,685,54866,55551,123686.0,9513.87,6870881300
"ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS", ,609371,10422,598949,609371,85450.8,1584.42,52071254510
"ENG-DRAFTERS", ,188214,5855,182359,188214,41117.1,1445.90,7738819550
"ENG-ENGINEERING TECHNICIANS, EXCEPT DRAFTERS", ,437377,15942,421435,437377,46954.4,1134.53,20536786648
"ENG-SURVEYING AND MAPPING TECHNICIANS", ,82599,3213,79386,82599,38761.7,2630.33,3201673700
"SCI-AGRICULTURAL AND FOOD SCIENTISTS", ,24958,181,24777,24958,51445.8,4534.46,1283984800
"SCI-BIOLOGICAL SCIENTISTS", ,83631,1295,82336,83631,56433.0,3040.70,4719550700
"SCI-CONSERVATION SCIENTISTS AND FORESTERS", ,23353,503,22850,23353,50453.5,4868.91,1178240900
"SCI-MEDICAL SCIENTISTS, AND LIFE SCIENTISTS, ALL OTHER", ,173221,1430,171791,173221,79850.2,3117.46,13831732000
"SCI-ASTRONOMERS AND PHYSICISTS", ,11731,520,11211,11731,85080.4,18896.96,998078200
"SCI-ATMOSPHERIC AND SPACE SCIENTISTS", ,13702,759,12943,13702,66926.5,8663.35,917027000
"SCI-CHEMISTS AND MATERIALS SCIENTISTS", ,97501,777,96724,97501,70466.6,4058.49,6870565040
"SCI-ENVIRONMENTAL SCIENTISTS AND GEOSCIENTISTS", ,83382,956,82426,83382,83476.8,5024.86,6960461500
"SCI-PHYSICAL SCIENTISTS, ALL OTHER", ,247948,2745,245203,247948,71301.9,2151.03,17679174350
"SCI-ECONOMISTS", ,24968,332,24636,24968,114670.5,9838.75,2863094100
"SCI-PSYCHOLOGISTS", ,223803,6517,217286,223803,47810.6,1750.32,10700158340
"SCI-URBAN AND REGIONAL PLANNERS", ,26474,1159,25315,26474,58818.5,5080.25,1557161300
"SCI-MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS AND SOCIOLOGISTS", ,47512,1188,46324,47512,43341.5,3322.94,2059239780
"SCI-AGRICULTURAL AND FOOD SCIENCE TECHNICIANS", ,45093,1730,43363,45093,40906.4,3496.03,1844590530
"SCI-BIOLOGICAL TECHNICIANS", ,27003,388,26615,27003,45529.1,4942.62,1229423500
"SCI-CHEMICAL TECHNICIANS", ,85990,2821,83169,85990,46126.6,2350.98,3966428800
"SCI-GEOLOGICAL AND PETROLEUM TECHNICIANS, AND NUCLEAR TECHNICIANS", ,28053,1477,26576,28053,61703.9,5973.25,1730980400
"SCI-MISCELLANEOUS LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, INCLUDING SOCIAL SCIENCE RESEARCH ASSISTANTS", ,299566,5925,293641,299566,28096.2,955.54,8416656950
"CMS-COUNSELORS", ,974397,38606,935791,974397,33950.1,619.25,33080879070
"CMS-SOCIAL WORKERS", ,978133,39311,938822,978133,37545.2,578.68,36724200570
"CMS-PROBATION OFFICERS AND CORRECTIONAL TREATMENT SPECIALISTS", ,100261,3355,96906,100261,44453.2,2048.18,4456920760
"CMS-SOCIAL AND HUMAN SERVICE ASSISTANTS", ,228827,10501,218326,228827,29905.9,1061.26,6843275160
"CMS-MISCELLANEOUS COMMUNITY AND SOCIAL SERVICE SPECIALISTS, INCLUDING HEALTH EDUCATORS AND COMMUNITY HEALTH WORKERS", ,115930,5490,110440,115930,35288.4,1800.45,4090985270
"CMS-CLERGY", ,498439,22564,475875,498439,35008.8,782.35,17449750170
"CMS-DIRECTORS, RELIGIOUS ACTIVITIES AND EDUCATION", ,86386,1835,84551,86386,33002.1,1806.78,2850916510
"CMS-RELIGIOUS WORKERS, ALL OTHER", ,95078,4091,90987,95078,21169.3,1324.25,2012736210
"LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL WORKERS", ,1241388,27946,1213442,1241388,119680.5,1885.15,148569886600
"LGL-JUDICIAL LAW CLERKS", ,26775,307,26468,26775,46059.2,5188.88,1233236100
"LGL-PARALEGALS AND LEGAL ASSISTANTS", ,480371,15616,464755,480371,41805.2,1136.06,20082013664
"LGL-MISCELLANEOUS LEGAL SUPPORT WORKERS", ,207677,5984,201693,207677,43907.6,1753.00,9118596460
"EDU-POSTSECONDARY TEACHERS", ,1843402,51046,1792356,1843402,48287.2,594.16,89012695960
"EDU-PRESCHOOL AND KINDERGARTEN TEACHERS", ,736384,20889,715495,736384,19187.1,407.45,14129060250
"EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS", ,4287786,99184,4188602,4287786,39087.1,275.56,167596958100
"EDU-SECONDARY SCHOOL TEACHERS", ,950132,21605,928527,950132,43177.4,653.81,41024254870
"EDU-SPECIAL EDUCATION TEACHERS", ,308704,7178,301526,308704,38621.3,1109.53,11922563940
