Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,73.2, 0.09,174146900.0,1656265.0
Alabama,70.4, 0.66,2518700.0,23971.0
Alaska,77.7, 1.26,422700.0,3854.0
Arizona,70.0, 0.56,3486100.0,33473.0
Arkansas,72.3, 0.84,1507800.0,13888.0
California,69.7, 0.23,21855500.0,204961.0
Colorado,76.6, 0.56,2987800.0,28280.0
Connecticut,76.7, 0.68,2057900.0,20056.0
Delaware,73.7, 1.42,505000.0,4810.0
District of Columbia,71.5, 1.63,402400.0,3934.0
Florida,70.7, 0.32,10384300.0,98820.0
Georgia,70.9, 0.45,5472900.0,49732.0
Hawaii,75.5, 1.10,799100.0,7923.0
Idaho,73.7, 1.10,839800.0,7853.0
Illinois,73.3, 0.37,7375500.0,69347.0
Indiana,74.3, 0.53,3547100.0,34337.0
Iowa,80.7, 0.59,1696500.0,16369.0
Kansas,78.6, 0.75,1563700.0,14819.0
Kentucky,71.8, 0.68,2277900.0,22050.0
Louisiana,72.1, 0.66,2441200.0,22162.0
Maine,77.9, 1.03,729700.0,7117.0
Maryland,77.6, 0.52,3403700.0,32946.0
Massachusetts,76.8, 0.49,3854300.0,39003.0
Michigan,70.2, 0.45,5373200.0,51799.0
Minnesota,80.2, 0.52,3079700.0,29897.0
Mississippi,69.0, 0.86,1534300.0,14368.0
Missouri,75.9, 0.54,3233900.0,31787.0
Montana,75.7, 1.32,556500.0,5179.0
Nebraska,82.3, 0.86,1028600.0,9745.0
Nevada,71.2, 0.84,1531300.0,13873.0
New Hampshire,79.4, 1.06,772300.0,7768.0
New Jersey,74.0, 0.45,5099800.0,49313.0
New Mexico,69.6, 1.00,1119300.0,10089.0
New York,72.1, 0.31,11350300.0,108610.0
North Carolina,72.3, 0.44,5327200.0,50246.0
North Dakota,83.3, 1.35,399000.0,3800.0
Ohio,74.3, 0.40,6285800.0,61771.0
Oklahoma,74.9, 0.71,1965400.0,18201.0
Oregon,71.4, 0.71,2153000.0,20913.0
Pennsylvania,74.6, 0.38,7021300.0,68647.0
Rhode Island,76.8, 1.24,608300.0,5964.0
South Carolina,70.5, 0.66,2541300.0,24383.0
South Dakota,81.6, 1.33,446600.0,4289.0
Tennessee,72.7, 0.55,3435600.0,32504.0
Texas,73.6, 0.27,14152200.0,127816.0
Utah,74.9, 0.80,1529500.0,14569.0
Vermont,80.6, 1.29,362800.0,3704.0
Virginia,76.7, 0.45,4704400.0,45051.0
Washington,73.6, 0.51,3899200.0,37851.0
West Virginia,68.6, 1.01,952200.0,8969.0
Wisconsin,78.4, 0.49,3230200.0,32286.0
Wyoming,79.9, 1.38,324000.0,3168.0
Puerto Rico,52.9, 0.78,1850600.0,15805.0
