Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,73.0, 0.09,173116500.0,1658979.0
Alabama,70.5, 0.66,2513100.0,24095.0
Alaska,76.2, 1.29,418400.0,3904.0
Arizona,70.1, 0.56,3462200.0,33206.0
Arkansas,73.2, 0.83,1499100.0,14023.0
California,69.6, 0.23,21666200.0,203983.0
Colorado,75.9, 0.57,2947000.0,28437.0
Connecticut,76.6, 0.68,2046700.0,19942.0
Delaware,74.8, 1.42,494100.0,4488.0
District of Columbia,70.5, 1.67,392600.0,3702.0
Florida,70.3, 0.33,10270000.0,98474.0
Georgia,70.7, 0.45,5459100.0,52221.0
Hawaii,76.7, 1.09,790100.0,7651.0
Idaho,74.0, 1.10,831700.0,8044.0
Illinois,73.3, 0.37,7375600.0,70547.0
Indiana,73.6, 0.54,3548900.0,35046.0
Iowa,81.0, 0.59,1683900.0,16319.0
Kansas,78.5, 0.76,1552400.0,14666.0
Kentucky,72.1, 0.68,2273300.0,22234.0
Louisiana,72.9, 0.65,2421500.0,22701.0
Maine,78.1, 1.03,733400.0,7014.0
Maryland,77.4, 0.52,3383200.0,32862.0
Massachusetts,75.9, 0.50,3845500.0,37340.0
Michigan,69.5, 0.45,5410100.0,52556.0
Minnesota,80.0, 0.52,3051600.0,29584.0
Mississippi,68.6, 0.86,1522700.0,14364.0
Missouri,75.8, 0.55,3242300.0,31816.0
Montana,75.3, 1.33,553400.0,5254.0
Nebraska,81.8, 0.88,1005200.0,9554.0
Nevada,70.8, 0.84,1537700.0,14780.0
New Hampshire,80.0, 1.04,771200.0,7607.0
New Jersey,73.9, 0.45,5099500.0,49229.0
New Mexico,70.1, 1.00,1111600.0,10058.0
New York,71.9, 0.31,11320800.0,106267.0
North Carolina,71.7, 0.45,5281600.0,50957.0
North Dakota,82.9, 1.38,392900.0,3770.0
Ohio,73.9, 0.40,6293700.0,62600.0
Oklahoma,75.2, 0.71,1951800.0,18450.0
Oregon,71.8, 0.71,2129100.0,20787.0
Pennsylvania,74.2, 0.38,7016100.0,67641.0
Rhode Island,74.0, 1.30,596500.0,5759.0
South Carolina,70.8, 0.66,2518300.0,24611.0
South Dakota,80.7, 1.35,447700.0,4285.0
Tennessee,72.0, 0.56,3419900.0,33082.0
Texas,73.8, 0.27,13921900.0,130208.0
Utah,74.3, 0.81,1515100.0,14829.0
Vermont,78.5, 1.35,357400.0,3617.0
Virginia,76.7, 0.45,4665800.0,44496.0
Washington,73.0, 0.52,3870700.0,37484.0
West Virginia,69.5, 1.00,955400.0,9145.0
Wisconsin,78.8, 0.48,3231600.0,32230.0
Wyoming,77.3, 1.46,316800.0,3060.0
Puerto Rico,53.0, 0.77,1886300.0,17549.0
