" "," ","Total DEAR","Yes","No","Total WAGP","Average WAGP","Std Err WAGP","Weighted total WAGP"
"     PRD-MISCELLANEOUS PRODUCTION WORKERS, INCLUDING SEMICONDUCTOR PROCESSORS", ,1620414,50732,1569682,1620414,28542.5,410.21,46250726590
"     TRN-SUPERVISORS OF TRANSPORTATION AND MATERIAL MOVING WORKERS", ,253759,6856,246903,253759,44806.9,1420.82,11370151060
"     TRN-AIRCRAFT PILOTS AND FLIGHT ENGINEERS", ,166495,3556,162939,166495,107038.6,4402.48,17821384680
"     TRN-AIR TRAFFIC CONTROLLERS AND AIRFIELD OPERATIONS SPECIALISTS", ,51179,1267,49912,51179,74452.2,5364.16,3810386700
"     TRN-FLIGHT ATTENDANTS", ,116255,1413,114842,116255,38985.8,1739.66,4532292620
"     TRN-AMBULANCE DRIVERS AND ATTENDANTS, EXCEPT EMERGENCY MEDICAL TECHNICIANS", ,16914,624,16290,16914,21931.6,2820.42,370951540
"     TRN-BUS DRIVERS", ,772066,32666,739400,772066,22476.6,481.37,17353434860
"     TRN-DRIVER/SALES WORKERS AND TRUCK DRIVERS", ,4257191,165531,4091660,4257191,31838.0,294.32,135540539420
"     TRN-TAXI DRIVERS AND CHAUFFEURS", ,526187,19369,506818,526187,17466.1,574.40,9190426370
"     TRN-MOTOR VEHICLE OPERATORS, ALL OTHER", ,77832,8044,69788,77832,11969.2,918.59,931590160
"     TRN-LOCOMOTIVE ENGINEERS AND OPERATORS", ,51244,2270,48974,51244,70658.7,4626.23,3620835750
"     TRN-RAILROAD CONDUCTORS AND YARDMASTERS", ,66109,1949,64160,66109,55472.1,3520.91,3667205280
"     TRN-SUBWAY, STREETCAR, AND OTHER RAIL TRANSPORTATION WORKERS", ,24587,1001,23586,24587,44642.2,4474.05,1097618970
"     TRN-SAILORS AND MARINE OILERS, AND SHIP ENGINEERS", ,44705,1185,43520,44705,42117.6,3434.48,1882866670
"     TRN-SHIP AND BOAT CAPTAINS AND OPERATORS", ,60029,1462,58567,60029,59330.2,4122.48,3561529960
"     TRN-PARKING LOT ATTENDANTS", ,111633,2827,108806,111633,16359.6,1355.89,1826274380
"     TRN-AUTOMOTIVE AND WATERCRAFT SERVICE ATTENDANTS", ,127460,2471,124989,127460,15233.8,854.55,1941699640
"     TRN-TRANSPORTATION INSPECTORS", ,54537,3509,51028,54537,47222.3,3239.12,2575364880
"     TRN-TRANSPORTATION ATTENDANTS, EXCEPT FLIGHT ATTENDANTS", ,44292,1606,42686,44292,19798.1,2536.96,876895440
"     TRN-MISCELLANEOUS TRANSPORTATION WORKERS, INCLUDING BRIDGE AND LOCK TENDERS AND TRAFFIC TECHNICIANS", ,37920,1263,36657,37920,36233.3,4547.14,1373964880
"     TRN-CRANE AND TOWER OPERATORS", ,69870,4164,65706,69870,54529.5,3216.80,3809979600
"     TRN-DREDGE, EXCAVATING, AND LOADING MACHINE OPERATORS", ,43703,2657,41046,43703,29435.3,2345.64,1286409420
"     TRN-CONVEYOR OPERATORS AND TENDERS, AND HOIST AND WINCH OPERATORS", ,17364,157,17207,17364,36807.8,4060.03,639130400
"     TRN-INDUSTRIAL TRUCK AND TRACTOR OPERATORS", ,706311,21319,684992,706311,27009.2,554.91,19076912130
"     TRN-CLEANERS OF VEHICLES AND EQUIPMENT", ,501530,11813,489717,501530,15399.6,451.68,7723366820
"     TRN-LABORERS AND FREIGHT, STOCK, AND MATERIAL MOVERS, HAND", ,3074518,77508,2997010,3074518,19586.6,231.24,60219308340
"     TRN-MACHINE FEEDERS AND OFFBEARERS", ,39267,1235,38032,39267,17685.7,1634.97,694464720
"     TRN-PACKERS AND PACKAGERS, HAND", ,700608,14731,685877,700608,15303.1,391.26,10721459910
"     TRN-PUMPING STATION OPERATORS", ,33745,1745,32000,33745,46409.8,4261.31,1566097500
"     TRN-REFUSE AND RECYCLABLE MATERIAL COLLECTORS", ,135094,4839,130255,135094,20268.5,1120.95,2738149350
"     TRN-MISCELLANEOUS MATERIAL MOVING WORKERS, INCLUDING MINE SHUTTLE CAR OPERATORS, AND TANK CAR, TRUCK, AND SHIP LOADERS", ,74610,3597,71013,74610,30598.8,2091.80,2282973170
"     MIL-MILITARY OFFICER SPECIAL AND TACTICAL OPERATIONS LEADERS", ,49094,2817,46277,49094,58631.2,4498.54,2878439200
"     MIL-FIRST-LINE ENLISTED MILITARY SUPERVISORS", ,111018,6716,104302,111018,51594.2,2225.69,5727884900
"     MIL-MILITARY ENLISTED TACTICAL OPERATIONS AND AIR/WEAPONS SPECIALISTS AND CREW MEMBERS", ,171519,5150,166369,171519,24305.7,948.47,4168884480
"     MIL-MILITARY, RANK NOT SPECIFIED **", ,274977,7929,267048,274977,40756.4,1256.43,11207080900
"     UNEMPLOYED AND LAST WORKED 5 YEARS AGO OR EARLIER OR NEVER WORKED **", ,2133874,43351,2090523,2133874,0.0,0.00,0
Universe: All
Weight used: PWGTP
DataSet(s) selected: 2015
Source: ACS Public Use Microdata Sample
