" "," ","Total DEAR","Yes","No","Total WAGP","Average WAGP","Std Err WAGP","Weighted total WAGP"
"     EDU-TEACHER ASSISTANTS", ,1349582,23957,1325625,1349582,16272.3,281.19,21960760542
"     EDU-OTHER EDUCATION, TRAINING, AND LIBRARY WORKERS", ,142713,2517,140196,142713,37437.7,1669.15,5342849120
"     ENT-ARTISTS AND RELATED WORKERS", ,262648,9695,252953,262648,26401.4,1364.28,6934279680
"     ENT-DESIGNERS", ,1035662,15864,1019798,1035662,39110.8,754.26,40505519990
"     ENT-ACTORS", ,80258,1316,78942,80258,23362.7,2946.60,1875043520
"     ENT-PRODUCERS AND DIRECTORS", ,180368,1761,178607,180368,63538.6,2888.15,11460338510
"     ENT-ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS", ,431818,3914,427904,431818,22002.2,1118.77,9500946330
"     ENT-DANCERS AND CHOREOGRAPHERS", ,30117,491,29626,30117,21118.2,2944.95,636016460
"     ENT-MUSICIANS, SINGERS, AND RELATED WORKERS", ,276217,7118,269099,276217,18916.5,1230.58,5225064380
"     ENT-ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED WORKERS, ALL OTHER", ,58856,1718,57138,58856,17534.8,1873.23,1032028610
"     ENT-ANNOUNCERS", ,61687,443,61244,61687,33629.1,3322.58,2074477290
"     ENT-NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS", ,91014,1114,89900,91014,49712.0,4031.80,4524483800
"     ENT-PUBLIC RELATIONS SPECIALISTS", ,154894,2802,152092,154894,61582.1,2829.73,9538698470
"     ENT-EDITORS", ,226168,4250,221918,226168,42321.9,1741.30,9571860110
"     ENT-TECHNICAL WRITERS", ,68598,1989,66609,68598,54379.0,3063.92,3730291790
"     ENT-WRITERS AND AUTHORS", ,300943,6331,294612,300943,34839.2,1564.34,10484609390
"     ENT-MISCELLANEOUS MEDIA AND COMMUNICATION WORKERS", ,140856,2603,138253,140856,24981.9,1518.43,3518852194
"     ENT-BROADCAST AND SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER", ,129468,1648,127820,129468,39217.6,1998.96,5077421020
"     ENT-PHOTOGRAPHERS", ,241362,4736,236626,241362,16869.2,977.81,4071585930
"     ENT-TELEVISION, VIDEO, AND MOTION PICTURE CAMERA OPERATORS AND EDITORS", ,79332,861,78471,79332,35366.2,2712.35,2805668420
"     MED-CHIROPRACTORS", ,58847,1281,57566,58847,55820.3,5078.35,3284855900
"     MED-DENTISTS", ,179563,4124,175439,179563,124640.9,4855.19,22380886450
"     MED-DIETITIANS AND NUTRITIONISTS", ,110026,1355,108671,110026,38513.5,2691.72,4237481820
"     MED-OPTOMETRISTS", ,39758,838,38920,39758,85471.5,6496.97,3398176000
"     MED-PHARMACISTS", ,336624,5893,330731,336624,86644.6,2195.39,29166647080
"     MED-PHYSICIANS AND SURGEONS", ,984445,15584,968861,984445,192009.9,2883.29,189023195810
"     MED-PHYSICIAN ASSISTANTS", ,100973,1955,99018,100973,85022.0,3870.05,8584925660
"     MED-PODIATRISTS", ,8428,214,8214,8428,116267.1,20488.80,979899000
"     MED-AUDIOLOGISTS", ,17290,645,16645,17290,59166.8,5353.76,1022993900
"     MED-OCCUPATIONAL THERAPISTS", ,117355,1384,115971,117355,53389.5,2238.93,6265522300
"     MED-PHYSICAL THERAPISTS", ,255855,3364,252491,255855,60572.1,1965.96,15497673470
"     MED-RADIATION THERAPISTS", ,18597,195,18402,18597,64577.8,6300.49,1200952800
"     MED-RECREATIONAL THERAPISTS", ,12247,158,12089,12247,33030.4,4539.84,404523660
"     MED-RESPIRATORY THERAPISTS", ,114521,2237,112284,114521,50166.8,2301.05,5745155950
"     MED-SPEECH-LANGUAGE PATHOLOGISTS", ,169868,2561,167307,169868,47571.1,1724.10,8080815560
"     MED-OTHER THERAPISTS, INCLUDING EXERCISE PHYSIOLOGISTS", ,182240,2319,179921,182240,35264.6,1391.38,6426617730
