,Occupation,Expected Highest Education Level Completed
363,    RPR-AUTOMOTIVE SERVICE TECHNICIANS AND MECHANICS,High School
364,    RPR-BUS AND TRUCK MECHANICS AND DIESEL ENGINE SPECIALISTS,High School
365,    RPR-HEAVY VEHICLE AND MOBILE EQUIPMENT SERVICE TECHNICIANS AND MECHANICS,High School
366,    RPR-SMALL ENGINE MECHANICS,High School
367,"    RPR-MISCELLANEOUS VEHICLE AND MOBILE EQUIPMENT MECHANICS, INSTALLERS, AND REPAIRERS",High School
368,    RPR-CONTROL AND VALVE INSTALLERS AND REPAIRERS,Some College
369,"    RPR-HEATING, AIR CONDITIONING, AND REFRIGERATION MECHANICS AND INSTALLERS",High School
370,    RPR-HOME APPLIANCE REPAIRERS,High School
371,    RPR-INDUSTRIAL AND REFRACTORY MACHINERY MECHANICS,High School
372,"    RPR-MAINTENANCE AND REPAIR WORKERS, GENERAL",High School
373,"    RPR-MAINTENANCE WORKERS, MACHINERY",High School
374,    RPR-MILLWRIGHTS,High School
375,    RPR-ELECTRICAL POWER-LINE INSTALLERS AND REPAIRERS,Some College
376,    RPR-TELECOMMUNICATIONS LINE INSTALLERS AND REPAIRERS,Some College
377,    RPR-PRECISION INSTRUMENT AND EQUIPMENT REPAIRERS,Some College
378,"    RPR-COIN, VENDING, AND AMUSEMENT MACHINE SERVICERS AND REPAIRERS",Some College
379,    RPR-LOCKSMITHS AND SAFE REPAIRERS,High School
380,    RPR-RIGGERS,High School
381,"    RPR-HELPERS--INSTALLATION, MAINTENANCE, AND REPAIR WORKERS",High School
382,"    RPR-MISCELLANEOUS INSTALLATION, MAINTENANCE, AND REPAIR",High School
383,    PRD-FIRST-LINE SUPERVISORS OF PRODUCTION AND OPERATING WORKERS,Some College
384,"    PRD-AIRCRAFT STRUCTURE, SURFACES, RIGGING, AND SYSTEMS ASSEMBLERS",High School
385,"    PRD-ELECTRICAL, ELECTRONICS, AND ELECTROMECHANICAL ASSEMBLERS",High School
386,    PRD-ENGINE AND OTHER MACHINE ASSEMBLERS,High School
387,    PRD-STRUCTURAL METAL FABRICATORS AND FITTERS,High School
388,    PRD-MISCELLANEOUS ASSEMBLERS AND FABRICATORS,High School
389,    PRD-BAKERS,High School
390,"    PRD-BUTCHERS AND OTHER MEAT, POULTRY, AND FISH PROCESSING WORKERS",High School
391,"    PRD-FOOD AND TOBACCO ROASTING, BAKING, AND DRYING MACHINE OPERATORS AND TENDERS",High School
392,    PRD-FOOD BATCHMAKERS,High School
393,    PRD-FOOD COOKING MACHINE OPERATORS AND TENDERS,High School
394,"    PRD-FOOD PROCESSING WORKERS, ALL OTHER",High School
395,    PRD-COMPUTER CONTROL PROGRAMMERS AND OPERATORS,Some College
396,"    PRD-EXTRUDING AND DRAWING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC",High School
397,"    PRD-FORGING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC",High School
398,"    PRD-ROLLING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC",High School
399,"    PRD-MACHINE TOOL CUTTING SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC",High School
400,    PRD-MACHINISTS,High School
401,"    PRD-METAL FURNACE OPERATORS, TENDERS, POURERS, AND CASTERS",High School
402,"    PRD-MODEL MAKERS, PATTERNMAKERS, AND MOLDING MACHINE SETTERS, METAL AND PLASTIC",High School
403,    PRD-TOOL AND DIE MAKERS,High School
404,"    PRD-WELDING, SOLDERING, AND BRAZING WORKERS",High School
405,"    PRD-MISCELLANEOUS METAL WORKERS AND PLASTIC WORKERS, INCLUDING MULTIPLE MACHINE TOOL SETTERS",High School
406,    PRD-PREPRESS TECHNICIANS AND WORKERS,Some College
407,    PRD-PRINTING PRESS OPERATORS,High School
408,    PRD-PRINT BINDING AND FINISHING WORKERS,High School
409,    PRD-LAUNDRY AND DRY-CLEANING WORKERS,High School
410,"    PRD-PRESSERS, TEXTILE, GARMENT, AND RELATED MATERIALS",High School
411,    PRD-SEWING MACHINE OPERATORS,High School
412,    PRD-SHOE AND LEATHER WORKERS,High School
413,"    PRD-TAILORS, DRESSMAKERS, AND SEWERS",High School
414,"    PRD-TEXTILE BLEACHING AND DYEING, AND CUTTING MACHINE SETTERS, OPERATORS, AND TENDERS",High School
415,"    PRD-TEXTILE KNITTING AND WEAVING MACHINE SETTERS, OPERATORS, AND TENDERS",High School
416,"    PRD-TEXTILE WINDING, TWISTING, AND DRAWING OUT MACHINE SETTERS, OPERATORS, AND TENDERS",High School
417,    PRD-UPHOLSTERERS,High School
418,"    PRD-MISCELLANEOUS TEXTILE, APPAREL, AND FURNISHINGS WORKERS, EXCEPT UPHOLSTERERS",High School
419,    PRD-CABINETMAKERS AND BENCH CARPENTERS,High School
420,    PRD-FURNITURE FINISHERS,High School
421,"    PRD-SAWING MACHINE SETTERS, OPERATORS, AND TENDERS, WOOD",High School
422,"    PRD-WOODWORKING MACHINE SETTERS, OPERATORS, AND TENDERS, EXCEPT SAWING",High School
423,"    PRD-MISCELLANEOUS WOODWORKERS, INCLUDING MODEL MAKERS AND PATTERNMAKERS",High School
424,"    PRD-POWER PLANT OPERATORS, DISTRIBUTORS, AND DISPATCHERS",Some College
425,    PRD-STATIONARY ENGINEERS AND BOILER OPERATORS,Some College
426,    PRD-WATER AND WASTEWATER TREATMENT PLANT AND SYSTEM OPERATORS,Some College
427,    PRD-MISCELLANEOUS PLANT AND SYSTEM OPERATORS,Some College
428,"    PRD-CHEMICAL PROCESSING MACHINE SETTERS, OPERATORS, AND TENDERS",Some College
429,"    PRD-CRUSHING, GRINDING, POLISHING, MIXING, AND BLENDING WORKERS",High School
430,    PRD-CUTTING WORKERS,High School
431,"    PRD-EXTRUDING, FORMING, PRESSING, AND COMPACTING MACHINE SETTERS, OPERATORS, AND TENDERS",High School
432,"    PRD-FURNACE, KILN, OVEN, DRIER, AND KETTLE OPERATORS AND TENDERS",High School
433,"    PRD-INSPECTORS, TESTERS, SORTERS, SAMPLERS, AND WEIGHERS",Some College
434,    PRD-JEWELERS AND PRECIOUS STONE AND METAL WORKERS,Some College
435,"    PRD-MEDICAL, DENTAL, AND OPHTHALMIC LABORATORY TECHNICIANS",Some College
436,    PRD-PACKAGING AND FILLING MACHINE OPERATORS AND TENDERS,High School
437,    PRD-PAINTING WORKERS,High School
438,    PRD-PHOTOGRAPHIC PROCESS WORKERS AND PROCESSING MACHINE OPERATORS,Some College
439,    PRD-ADHESIVE BONDING MACHINE OPERATORS AND TENDERS,High School
440,    PRD-ETCHERS AND ENGRAVERS,Some College
441,"    PRD-MOLDERS, SHAPERS, AND CASTERS, EXCEPT METAL AND PLASTIC",High School
442,"    PRD-PAPER GOODS MACHINE SETTERS, OPERATORS, AND TENDERS",High School
443,    PRD-TIRE BUILDERS,High School
444,    PRD-HELPERS-PRODUCTION WORKERS,High School
445,"    PRD-MISCELLANEOUS PRODUCTION WORKERS, INCLUDING SEMICONDUCTOR PROCESSORS",High School
446,    TRN-SUPERVISORS OF TRANSPORTATION AND MATERIAL MOVING WORKERS,Some College
447,    TRN-AIRCRAFT PILOTS AND FLIGHT ENGINEERS,Bachelor Degree
448,    TRN-AIR TRAFFIC CONTROLLERS AND AIRFIELD OPERATIONS SPECIALISTS,Some College
449,    TRN-FLIGHT ATTENDANTS,Some College
450,"    TRN-AMBULANCE DRIVERS AND ATTENDANTS, EXCEPT EMERGENCY MEDICAL TECHNICIANS",Some College
451,    TRN-BUS DRIVERS,Some College
452,    TRN-DRIVER/SALES WORKERS AND TRUCK DRIVERS,High School
453,    TRN-TAXI DRIVERS AND CHAUFFEURS,Some College
454,"    TRN-MOTOR VEHICLE OPERATORS, ALL OTHER",Some College
455,    TRN-LOCOMOTIVE ENGINEERS AND OPERATORS,Some College
456,    TRN-RAILROAD CONDUCTORS AND YARDMASTERS,Some College
457,"    TRN-SUBWAY, STREETCAR, AND OTHER RAIL TRANSPORTATION WORKERS",Some College
458,"    TRN-SAILORS AND MARINE OILERS, AND SHIP ENGINEERS",Some College
459,    TRN-SHIP AND BOAT CAPTAINS AND OPERATORS,Some College
460,    TRN-PARKING LOT ATTENDANTS,High School
461,    TRN-AUTOMOTIVE AND WATERCRAFT SERVICE ATTENDANTS,High School
462,    TRN-TRANSPORTATION INSPECTORS,Some College
463,"    TRN-TRANSPORTATION ATTENDANTS, EXCEPT FLIGHT ATTENDANTS",High School
464,"    TRN-MISCELLANEOUS TRANSPORTATION WORKERS, INCLUDING BRIDGE AND LOCK TENDERS AND TRAFFIC TECHNICIANS",Some College
465,    TRN-CRANE AND TOWER OPERATORS,High School
466,"    TRN-DREDGE, EXCAVATING, AND LOADING MACHINE OPERATORS",High School
467,"    TRN-CONVEYOR OPERATORS AND TENDERS, AND HOIST AND WINCH OPERATORS",High School
468,    TRN-INDUSTRIAL TRUCK AND TRACTOR OPERATORS,High School
469,    TRN-CLEANERS OF VEHICLES AND EQUIPMENT,High School
470,"    TRN-LABORERS AND FREIGHT, STOCK, AND MATERIAL MOVERS, HAND",High School
471,    TRN-MACHINE FEEDERS AND OFFBEARERS,High School
472,"    TRN-PACKERS AND PACKAGERS, HAND",High School
473,    TRN-PUMPING STATION OPERATORS,High School
474,    TRN-REFUSE AND RECYCLABLE MATERIAL COLLECTORS,High School
475,"    TRN-MISCELLANEOUS MATERIAL MOVING WORKERS, INCLUDING MINE SHUTTLE CAR OPERATORS, AND TANK CAR, TRUCK, AND SHIP LOADERS",High School
476,    MIL-MILITARY OFFICER SPECIAL AND TACTICAL OPERATIONS LEADERS,Bachelor Degree
477,    MIL-FIRST-LINE ENLISTED MILITARY SUPERVISORS,Some College
478,    MIL-MILITARY ENLISTED TACTICAL OPERATIONS AND AIR/WEAPONS SPECIALISTS AND CREW MEMBERS,Some College
479,"    MIL-MILITARY, RANK NOT SPECIFIED **",Some College
480,    UNEMPLOYED AND LAST WORKED 5 YEARS AGO OR EARLIER OR NEVER WORKED **,High School
