Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,33.1, 0.30,19641300.0,206624.0
Alabama,26.0, 1.51,442600.0,4687.0
Alaska,46.4, 4.45,48500.0,455.0
Arizona,32.1, 1.74,377600.0,4013.0
Arkansas,30.1, 2.06,261500.0,2925.0
California,31.6, 0.78,1888500.0,19695.0
Colorado,42.4, 2.13,283000.0,2908.0
Connecticut,38.1, 2.62,180100.0,1932.0
Delaware,35.6, 4.66,55500.0,562.0
District of Columbia,32.3, 5.66,35900.0,415.0
Florida,29.5, 0.98,1136300.0,12038.0
Georgia,30.3, 1.29,665500.0,7099.0
Hawaii,39.7, 4.53,61300.0,639.0
Idaho,37.8, 3.49,101700.0,1078.0
Illinois,34.3, 1.33,668500.0,7375.0
Indiana,34.2, 1.60,461800.0,5025.0
Iowa,41.7, 2.36,168200.0,1832.0
Kansas,43.5, 2.66,181900.0,1822.0
Kentucky,25.8, 1.53,429600.0,4271.0
Louisiana,32.5, 1.75,376800.0,3876.0
Maine,30.7, 3.01,106500.0,1182.0
Maryland,36.2, 1.99,307500.0,3149.0
Massachusetts,31.8, 1.74,378300.0,3882.0
Michigan,28.6, 1.19,758800.0,7753.0
Minnesota,47.1, 2.26,256900.0,2868.0
Mississippi,29.2, 2.02,266900.0,2720.0
Missouri,32.6, 1.59,457200.0,4873.0
Montana,44.2, 4.49,64300.0,651.0
Nebraska,45.6, 3.73,93800.0,1027.0
Nevada,35.8, 2.67,168800.0,1739.0
New Hampshire,37.8, 4.04,75600.0,755.0
New Jersey,35.2, 1.70,412600.0,4296.0
New Mexico,35.3, 2.90,142200.0,1391.0
New York,31.9, 1.04,1055900.0,11791.0
North Carolina,30.5, 1.27,692700.0,7428.0
North Dakota,48.0, 6.51,30900.0,328.0
Ohio,33.1, 1.18,830300.0,8794.0
Oklahoma,35.7, 1.91,331200.0,3410.0
Oregon,34.7, 2.06,279200.0,2875.0
Pennsylvania,33.3, 1.16,866200.0,8665.0
Rhode Island,30.8, 4.10,66500.0,699.0
South Carolina,27.6, 1.71,357300.0,3921.0
South Dakota,42.1, 5.24,46500.0,465.0
Tennessee,28.6, 1.40,545800.0,5694.0
Texas,37.1, 0.88,1580800.0,16515.0
Utah,40.6, 3.08,133100.0,1348.0
Vermont,38.6, 4.74,40800.0,419.0
Virginia,33.7, 1.60,458100.0,4926.0
Washington,35.5, 1.62,456600.0,4753.0
West Virginia,24.1, 2.05,197800.0,1990.0
Wisconsin,38.1, 1.81,324400.0,3310.0
Wyoming,46.1, 5.34,33600.0,360.0
Puerto Rico,24.1, 1.44,398000.0,3619.0
