Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,34.4, 0.27,20549100.0,208099.0
Alabama,26.9, 1.56,422000.0,4420.0
Alaska,41.4, 5.34,44600.0,420.0
Arizona,32.9, 1.67,417700.0,4319.0
Arkansas,30.5, 2.06,263000.0,2781.0
California,32.9, 0.76,2001100.0,20141.0
Colorado,40.6, 2.06,298000.0,2991.0
Connecticut,39.8, 2.53,195800.0,1945.0
Delaware,35.7, 4.73,53900.0,537.0
District of Columbia,33.3, 5.08,45200.0,448.0
Florida,30.1, 0.96,1193900.0,12133.0
Georgia,29.5, 1.26,687200.0,6874.0
Hawaii,44.8, 4.30,70200.0,729.0
Idaho,35.4, 3.44,101400.0,1050.0
Illinois,35.8, 1.33,680900.0,7199.0
Indiana,37.4, 1.59,488200.0,5150.0
Iowa,43.2, 2.34,172700.0,1898.0
Kansas,39.5, 2.56,191500.0,2014.0
Kentucky,27.3, 1.55,432800.0,4375.0
Louisiana,33.2, 1.78,367600.0,3729.0
Maine,32.1, 2.88,118600.0,1127.0
Maryland,39.5, 1.99,317100.0,3155.0
Massachusetts,34.9, 1.74,392200.0,3901.0
Michigan,29.6, 1.11,760000.0,7753.0
Minnesota,44.0, 1.80,295000.0,3014.0
Mississippi,27.8, 1.98,268700.0,2726.0
Missouri,32.7, 1.56,474200.0,4985.0
Montana,41.5, 3.61,72000.0,665.0
Nebraska,45.4, 3.12,98500.0,1051.0
Nevada,41.7, 2.49,205600.0,1842.0
New Hampshire,40.5, 4.03,77900.0,805.0
New Jersey,39.5, 1.69,440400.0,4572.0
New Mexico,30.9, 2.62,163200.0,1470.0
New York,33.1, 1.02,1110400.0,11801.0
North Carolina,31.5, 1.26,710400.0,7213.0
North Dakota,53.8, 5.06,37500.0,411.0
Ohio,34.3, 1.17,859600.0,8812.0
Oklahoma,37.3, 1.65,331300.0,3339.0
Oregon,36.1, 1.94,323100.0,3008.0
Pennsylvania,35.2, 1.16,897400.0,8765.0
Rhode Island,34.3, 3.83,80600.0,745.0
South Carolina,29.2, 1.70,375900.0,3791.0
South Dakota,47.9, 4.26,52900.0,523.0
Tennessee,29.9, 1.39,573300.0,5803.0
Texas,38.1, 0.87,1632900.0,16225.0
Utah,42.5, 2.93,149600.0,1483.0
Vermont,35.5, 3.82,50700.0,461.0
Virginia,37.5, 1.59,489100.0,4858.0
Washington,37.8, 1.60,483700.0,4845.0
West Virginia,26.7, 2.15,191500.0,1895.0
Wisconsin,39.6, 1.63,348800.0,3537.0
Wyoming,45.8, 4.96,38900.0,365.0
Puerto Rico,22.2, 1.42,389800.0,3458.0
