sector,fulltitle,yes,no,average_wage,jobtype,exp_ed
BUS,BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,3682,335652,65364.7,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,Bachelor Degree
BUS,"BUS-BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",9796,331362,62108.6,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",Bachelor Degree
FIN,FIN-ACCOUNTANTS AND AUDITORS,53162,2182998,59154.5,ACCOUNTANTS AND AUDITORS,Bachelor Degree
FIN,FIN-APPRAISERS AND ASSESSORS OF REAL ESTATE,3030,104069,38474.7,APPRAISERS AND ASSESSORS OF REAL ESTATE,Some College
FIN,FIN-BUDGET ANALYSTS,852,54696,70053.9,BUDGET ANALYSTS,Bachelor Degree
FIN,FIN-CREDIT ANALYSTS,914,30372,63825.5,CREDIT ANALYSTS,Bachelor Degree
FIN,FIN-FINANCIAL ANALYSTS,3215,251505,95274.7,FINANCIAL ANALYSTS,Bachelor Degree
FIN,FIN-PERSONAL FINANCIAL ADVISORS,5664,399869,103827.3,PERSONAL FINANCIAL ADVISORS,Bachelor Degree
FIN,FIN-INSURANCE UNDERWRITERS,2793,121914,62275.8,INSURANCE UNDERWRITERS,Bachelor Degree
FIN,FIN-FINANCIAL EXAMINERS,66,14300,86885,FINANCIAL EXAMINERS,Bachelor Degree
FIN,FIN-CREDIT COUNSELORS AND LOAN OFFICERS,7146,339767,64676.6,CREDIT COUNSELORS AND LOAN OFFICERS,Some College
FIN,"FIN-TAX EXAMINERS AND COLLECTORS, AND REVENUE AGENTS",4559,70942,45747.2,"TAX EXAMINERS AND COLLECTORS, AND REVENUE AGENTS",Some College
FIN,FIN-TAX PREPARERS,11611,150858,28256.1,TAX PREPARERS,Some College
FIN,"FIN-FINANCIAL SPECIALISTS, ALL OTHER",3372,58317,79486,"FINANCIAL SPECIALISTS, ALL OTHER",Bachelor Degree
CMM,CMM-COMPUTER AND INFORMATION RESEARCH SCIENTISTS,0,22971,73330.2,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,Bachelor Degree
CMM,CMM-COMPUTER SYSTEMS ANALYSTS,12801,540069,71287.3,COMPUTER SYSTEMS ANALYSTS,Bachelor Degree
CMM,CMM-INFORMATION SECURITY ANALYSTS,1301,70326,84797.7,INFORMATION SECURITY ANALYSTS,Bachelor Degree
