sector,fulltitle,yes,no,average_wage,jobtype,exp_ed
BUS,     BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,4027,335307,65364.7,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,Bachelor Degree
BUS,"     BUS-BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",5479,335679,62108.6,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",Bachelor Degree
FIN,     FIN-ACCOUNTANTS AND AUDITORS,38306,2197854,59154.5,ACCOUNTANTS AND AUDITORS,Bachelor Degree
FIN,     FIN-APPRAISERS AND ASSESSORS OF REAL ESTATE,4063,103036,38474.7,APPRAISERS AND ASSESSORS OF REAL ESTATE,Some College
FIN,     FIN-BUDGET ANALYSTS,1485,54063,70053.9,BUDGET ANALYSTS,Bachelor Degree
FIN,     FIN-CREDIT ANALYSTS,249,31037,63825.5,CREDIT ANALYSTS,Bachelor Degree
FIN,     FIN-FINANCIAL ANALYSTS,3171,251549,95274.7,FINANCIAL ANALYSTS,Bachelor Degree
FIN,     FIN-PERSONAL FINANCIAL ADVISORS,7538,397995,103827.3,PERSONAL FINANCIAL ADVISORS,Bachelor Degree
FIN,     FIN-INSURANCE UNDERWRITERS,1729,122978,62275.8,INSURANCE UNDERWRITERS,Bachelor Degree
FIN,     FIN-FINANCIAL EXAMINERS,552,13814,86885,FINANCIAL EXAMINERS,Bachelor Degree
FIN,     FIN-CREDIT COUNSELORS AND LOAN OFFICERS,6584,340329,64676.6,CREDIT COUNSELORS AND LOAN OFFICERS,Some College
FIN,"     FIN-TAX EXAMINERS AND COLLECTORS, AND REVENUE AGENTS",2207,73294,45747.2,"TAX EXAMINERS AND COLLECTORS, AND REVENUE AGENTS",Some College
FIN,     FIN-TAX PREPARERS,6359,156110,28256.1,TAX PREPARERS,Some College
FIN,"     FIN-FINANCIAL SPECIALISTS, ALL OTHER",1915,59774,79486,"FINANCIAL SPECIALISTS, ALL OTHER",Bachelor Degree
CMM,     CMM-COMPUTER AND INFORMATION RESEARCH SCIENTISTS,74,22897,73330.2,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,Bachelor Degree
CMM,     CMM-COMPUTER SYSTEMS ANALYSTS,9356,543514,71287.3,COMPUTER SYSTEMS ANALYSTS,Bachelor Degree
CMM,     CMM-INFORMATION SECURITY ANALYSTS,1117,70510,84797.7,INFORMATION SECURITY ANALYSTS,Bachelor Degree
CMM,     CMM-COMPUTER PROGRAMMERS,8387,500447,70577.8,COMPUTER PROGRAMMERS,Bachelor Degree
CMM,"     CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE",15418,1286623,90582.4,"SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE",Bachelor Degree
CMM,     CMM-WEB DEVELOPERS,3202,218604,45119.8,WEB DEVELOPERS,Bachelor Degree
CMM,     CMM-COMPUTER SUPPORT SPECIALISTS,15251,721263,52652.6,COMPUTER SUPPORT SPECIALISTS,Some College
CMM,     CMM-DATABASE ADMINISTRATORS,1678,127719,70205.2,DATABASE ADMINISTRATORS,Bachelor Degree
CMM,     CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,5074,226963,63270,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,Bachelor Degree
CMM,     CMM-COMPUTER NETWORK ARCHITECTS,973,115294,90643.2,COMPUTER NETWORK ARCHITECTS,Bachelor Degree
CMM,"     CMM-COMPUTER OCCUPATIONS, ALL OTHER",8848,646166,64037.4,"COMPUTER OCCUPATIONS, ALL OTHER",Bachelor Degree
CMM,     CMM-ACTUARIES,126,30288,114220.2,ACTUARIES,Bachelor Degree
CMM,     CMM-OPERATIONS RESEARCH ANALYSTS,5163,154037,72482.1,OPERATIONS RESEARCH ANALYSTS,Bachelor Degree
CMM,"     CMM-MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS AND STATISTICIANS",640,58465,80275.5,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS AND STATISTICIANS",Bachelor Degree
ENG,"     ENG-ARCHITECTS, EXCEPT NAVAL",3796,194865,70724.6,"ARCHITECTS, EXCEPT NAVAL",Bachelor Degree
ENG,"     ENG-SURVEYORS, CARTOGRAPHERS, AND PHOTOGRAMMETRISTS",1111,37585,45992.9,"SURVEYORS, CARTOGRAPHERS, AND PHOTOGRAMMETRISTS",Bachelor Degree
ENG,     ENG-AEROSPACE ENGINEERS,3045,132357,91383.4,AEROSPACE ENGINEERS,Bachelor Degree
ENG,     ENG-BIOMEDICAL AND AGRICULTURAL ENGINEERS,916,16627,75127.4,BIOMEDICAL AND AGRICULTURAL ENGINEERS,Bachelor Degree
ENG,     ENG-CHEMICAL ENGINEERS,1375,73213,99119.3,CHEMICAL ENGINEERS,Bachelor Degree
ENG,     ENG-CIVIL ENGINEERS,8636,350430,75839.1,CIVIL ENGINEERS,Bachelor Degree
ENG,     ENG-COMPUTER HARDWARE ENGINEERS,608,57989,88170.8,COMPUTER HARDWARE ENGINEERS,Bachelor Degree
ENG,     ENG-ELECTRICAL AND ELECTRONICS ENGINEERS,5201,236735,86267.1,ELECTRICAL AND ELECTRONICS ENGINEERS,Bachelor Degree
ENG,     ENG-ENVIRONMENTAL ENGINEERS,598,33890,70260.9,ENVIRONMENTAL ENGINEERS,Bachelor Degree
ENG,"     ENG-INDUSTRIAL ENGINEERS, INCLUDING HEALTH AND SAFETY",5241,220216,69411.2,"INDUSTRIAL ENGINEERS, INCLUDING HEALTH AND SAFETY",Bachelor Degree
ENG,     ENG-MARINE ENGINEERS AND NAVAL ARCHITECTS,752,13819,74885,MARINE ENGINEERS AND NAVAL ARCHITECTS,Bachelor Degree
ENG,     ENG-MATERIALS ENGINEERS,805,47063,75485.1,MATERIALS ENGINEERS,Bachelor Degree
ENG,     ENG-MECHANICAL ENGINEERS,5253,270433,77139.2,MECHANICAL ENGINEERS,Bachelor Degree
ENG,"     ENG-PETROLEUM, MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING SAFETY ENGINEERS",766,54785,123686,"PETROLEUM, MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING SAFETY ENGINEERS",Bachelor Degree
ENG,"     ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",15845,593526,85450.8,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",Bachelor Degree
ENG,     ENG-DRAFTERS,5725,182489,41117.1,DRAFTERS,Some College
ENG,"     ENG-ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",16907,420470,46954.4,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",Some College
ENG,     ENG-SURVEYING AND MAPPING TECHNICIANS,3093,79506,38761.7,SURVEYING AND MAPPING TECHNICIANS,Some College
SCI,     SCI-AGRICULTURAL AND FOOD SCIENTISTS,459,24499,51445.8,AGRICULTURAL AND FOOD SCIENTISTS,Bachelor Degree
SCI,     SCI-BIOLOGICAL SCIENTISTS,1041,82590,56433,BIOLOGICAL SCIENTISTS,Bachelor Degree
SCI,     SCI-CONSERVATION SCIENTISTS AND FORESTERS,877,22476,50453.5,CONSERVATION SCIENTISTS AND FORESTERS,Bachelor Degree
SCI,"     SCI-MEDICAL SCIENTISTS, AND LIFE SCIENTISTS, ALL OTHER",1580,171641,79850.2,"MEDICAL SCIENTISTS, AND LIFE SCIENTISTS, ALL OTHER","Master, PhD, or Professional Degree"
SCI,     SCI-ASTRONOMERS AND PHYSICISTS,137,11594,85080.4,ASTRONOMERS AND PHYSICISTS,"Master, PhD, or Professional Degree"
SCI,     SCI-ATMOSPHERIC AND SPACE SCIENTISTS,256,13446,66926.5,ATMOSPHERIC AND SPACE SCIENTISTS,Bachelor Degree
SCI,     SCI-CHEMISTS AND MATERIALS SCIENTISTS,1402,96099,70466.6,CHEMISTS AND MATERIALS SCIENTISTS,Bachelor Degree
SCI,     SCI-ENVIRONMENTAL SCIENTISTS AND GEOSCIENTISTS,2006,81376,83476.8,ENVIRONMENTAL SCIENTISTS AND GEOSCIENTISTS,Bachelor Degree
SCI,"     SCI-PHYSICAL SCIENTISTS, ALL OTHER",2328,245620,71301.9,"PHYSICAL SCIENTISTS, ALL OTHER","Master, PhD, or Professional Degree"
SCI,     SCI-ECONOMISTS,638,24330,114670.5,ECONOMISTS,"Master, PhD, or Professional Degree"
SCI,     SCI-PSYCHOLOGISTS,5405,218398,47810.6,PSYCHOLOGISTS,"Master, PhD, or Professional Degree"
SCI,     SCI-URBAN AND REGIONAL PLANNERS,725,25749,58818.5,URBAN AND REGIONAL PLANNERS,Bachelor Degree
SCI,"     SCI-MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS AND SOCIOLOGISTS",1640,45872,43341.5,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS AND SOCIOLOGISTS",Bachelor Degree
SCI,     SCI-AGRICULTURAL AND FOOD SCIENCE TECHNICIANS,1236,43857,40906.4,AGRICULTURAL AND FOOD SCIENCE TECHNICIANS,Some College
SCI,     SCI-BIOLOGICAL TECHNICIANS,459,26544,45529.1,BIOLOGICAL TECHNICIANS,Some College
SCI,     SCI-CHEMICAL TECHNICIANS,1405,84585,46126.6,CHEMICAL TECHNICIANS,Some College
SCI,"     SCI-GEOLOGICAL AND PETROLEUM TECHNICIANS, AND NUCLEAR TECHNICIANS",1060,26993,61703.9,"GEOLOGICAL AND PETROLEUM TECHNICIANS, AND NUCLEAR TECHNICIANS",Some College
SCI,"     SCI-MISCELLANEOUS LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, INCLUDING SOCIAL SCIENCE RESEARCH ASSISTANTS",4042,295524,28096.2,"MISCELLANEOUS LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, INCLUDING SOCIAL SCIENCE RESEARCH ASSISTANTS",Some College
CMS,     CMS-COUNSELORS,21201,953196,33950.1,COUNSELORS,Bachelor Degree
CMS,     CMS-SOCIAL WORKERS,18305,959828,37545.2,SOCIAL WORKERS,Bachelor Degree
CMS,     CMS-PROBATION OFFICERS AND CORRECTIONAL TREATMENT SPECIALISTS,1676,98585,44453.2,PROBATION OFFICERS AND CORRECTIONAL TREATMENT SPECIALISTS,Bachelor Degree
CMS,     CMS-SOCIAL AND HUMAN SERVICE ASSISTANTS,5664,223163,29905.9,SOCIAL AND HUMAN SERVICE ASSISTANTS,Some College
